_computeFunctionValue            | 6                                | TK_FUNID                         | NaN                              | <function>                       | Yes             | ------                          
type                             | 9                                | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_SEM                           | No              | <declaration>                   
real                             | 9                                | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
c4bbb                            | 9                                | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | TK_SEM                          
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_SEM                           | No              | <declarations>                  
------                           | -1                               | ------                           | NaN                              | TK_LIST                          | No              | <declarations>                  
c6                               | 10                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
d4cbcd5677                       | 11                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
c3                               | 11                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
+                                | 11                               | TK_PLUS                          | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
2                                | 11                               | TK_NUM                           | 2                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
*                                | 11                               | TK_MUL                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
c4                               | 11                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
-                                | 11                               | TK_MINUS                         | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
c5                               | 11                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
-                                | 11                               | TK_MINUS                         | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
5                                | 11                               | TK_NUM                           | 5                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
/                                | 11                               | TK_DIV                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
4                                | 11                               | TK_NUM                           | 4                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
c4bbb                            | 12                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
d4cbcd5677                       | 12                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
-                                | 12                               | TK_MINUS                         | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
2.35                             | 12                               | TK_RNUM                          | 2.35                             | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
*                                | 12                               | TK_MUL                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
2345                             | 12                               | TK_NUM                           | 2345                             | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
-                                | 12                               | TK_MINUS                         | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
234                              | 12                               | TK_NUM                           | 234                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
*                                | 12                               | TK_MUL                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
8                                | 12                               | TK_NUM                           | 8                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <arithmeticExpression>          
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
+                                | 12                               | TK_PLUS                          | NaN                              | <lowPrecedenceOperators>         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <lowPrecedenceOperators>        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
5                                | 12                               | TK_NUM                           | 5                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <term>                          
*                                | 12                               | TK_MUL                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
c3                               | 12                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <expPrime>                       | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | TK_CL                            | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | TK_CL                           
if                               | 13                               | TK_IF                            | NaN                              | <conditionalStmt>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <conditionalStmt>               
~                                | 13                               | TK_NOT                           | NaN                              | <booleanExpression>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | <booleanExpression>             
c4bbb                            | 13                               | TK_ID                            | NaN                              | <var>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | <var>                           
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | <booleanExpression>             
==                               | 13                               | TK_EQ                            | NaN                              | <relationalOp>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | <relationalOp>                  
0                                | 13                               | TK_NUM                           | 0                                | <var>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | <var>                           
------                           | -1                               | ------                           | NaN                              | <conditionalStmt>                | No              | <booleanExpression>             
c4bbb                            | 13                               | TK_ID                            | NaN                              | <var>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_OP                            | No              | <var>                           
------                           | -1                               | ------                           | NaN                              | <booleanExpression>              | No              | TK_OP                           
>                                | 13                               | TK_GT                            | NaN                              | <relationalOp>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_OP                            | No              | <relationalOp>                  
78.56                            | 13                               | TK_RNUM                          | 78.56                            | <var>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_OP                            | No              | <var>                           
c6                               | 15                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | TK_THEN                          | No              | <assignmentStmt>                
d4cbcd5677                       | 15                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
/                                | 15                               | TK_DIV                           | NaN                              | <highPrecedenceOperators>        | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <highPrecedenceOperators>       
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
c4bbb                            | 15                               | TK_ID                            | NaN                              | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | eps                              | NaN                              | <B>                              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <all>                            | No              | <B>                             
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <factor>                        
else                             | 16                               | TK_ELSE                          | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <termPrime>                     
write                            | 17                               | TK_WRITE                         | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
c4bbb                            | 17                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <stmt>                          
------                           | -1                               | eps                              | NaN                              | <otherStmts>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <termPrime>                      | No              | <otherStmts>                    
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
------                           | -1                               | eps                              | NaN                              | TK_SEM                           | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | TK_SEM                          
------                           | -1                               | ------                           | NaN                              | <conditionalStmt>                | No              | TK_THEN                         
_main                            | 24                               | TK_MAIN                          | NaN                              | <stmt>                           | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <conditionalStmt>                | No              | <stmt>                          
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <stmts>                         
type                             | 25                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 25                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
type                             | 26                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_COLON                         | No              | <declaration>                   
int                              | 26                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
d5cb34567                        | 26                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | TK_COLON                        
type                             | 27                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 27                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
b3b444                           | 27                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
global                           | 27                               | TK_GLOBAL                        | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
------                           | -1                               | ------                           | NaN                              | TK_COLON                         | No              | <declarations>                  
type                             | 28                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
real                             | 28                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
c3                               | 28                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
b5                               | 29                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
1                                | 29                               | TK_NUM                           | 1                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <new_24>                         | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <new_24>                         | No              | <expPrime>                      
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
read                             | 30                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
d5cb34567                        | 30                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
read                             | 31                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
read                             | 32                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
b3b444                           | 32                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
c3                               | 34                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <outputParameters>               | No              | <idList>                        
